season,City,date,Home Team,Away Team,Toss won by,Toss decision,winner,Target Runs
2021,Sharjah,25-09-2021,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Punjab Kings,126
2021,Abu Dhabi,26-09-2021,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,172
2021,Dubai,26-09-2021,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,166
2021,Dubai,27-09-2021,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,Sunrisers Hyderabad,165
2021,Sharjah,28-09-2021,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,128
2021,Abu Dhabi,28-09-2021,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,136
2021,Dubai,29-09-2021,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,150
2021,Sharjah,30-09-2021,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,135
2021,Dubai,01-10-2021,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Punjab Kings,166
2021,Abu Dhabi,02-10-2021,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,190
2021,Sharjah,02-10-2021,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,130
2021,Sharjah,03-10-2021,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,165
2021,Dubai,03-10-2021,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,116
2021,Dubai,04-10-2021,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,137
2021,Sharjah,05-10-2021,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,91
2021,Abu Dhabi,06-10-2021,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,142
2021,Dubai,07-10-2021,Chennai Super Kings,Punjab Kings,Punjab Kings,field,Punjab Kings,135
2021,Sharjah,07-10-2021,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,172
2021,Abu Dhabi,08-10-2021,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,236
2021,Dubai,08-10-2021,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,165
2021,Dubai,10-10-2021,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,173
2021,Sharjah,11-10-2021,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,Kolkata Knight Riders,139
2021,Sharjah,13-10-2021,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,136
2021,Dubai,15-10-2021,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,193
2022,Mumbai,26-03-2022,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,132
2022,Mumbai,27-03-2022,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,178
2022,Mumbai,27-03-2022,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,Punjab Kings,206
2022,Mumbai,28-03-2022,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,159
2022,Pune,29-03-2022,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rajasthan Royals,211
2022,Mumbai,30-03-2022,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,129
2022,Mumbai,31-03-2022,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,211
2022,Mumbai,01-04-2022,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,138
2022,Mumbai,02-04-2022,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Rajasthan Royals,194
2022,Pune,02-04-2022,Gujarat Titans,Delhi Capitals,Delhi Capitals,field,Gujarat Titans,172
2022,Mumbai,03-04-2022,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Punjab Kings,181
2022,Mumbai,04-04-2022,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Lucknow Super Giants,170
2022,Mumbai,05-04-2022,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,170
2022,Pune,06-04-2022,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,162
2022,Mumbai,07-04-2022,Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,150
2022,Mumbai,08-04-2022,Punjab Kings,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,190
2022,Mumbai,09-04-2022,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,155
2022,Pune,09-04-2022,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,152
2022,Mumbai,10-04-2022,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Capitals,216
2022,Mumbai,10-04-2022,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,field,Rajasthan Royals,166
2022,Mumbai,11-04-2022,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,163
2022,Mumbai,12-04-2022,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Chennai Super Kings,217
2022,Pune,13-04-2022,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,199
2022,Mumbai,14-04-2022,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,Gujarat Titans,193
2022,Mumbai,15-04-2022,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,176
2022,Mumbai,16-04-2022,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,Lucknow Super Giants,200
2022,Mumbai,16-04-2022,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Royal Challengers Bangalore,190
2022,Mumbai,17-04-2022,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,152
2022,Pune,17-04-2022,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,170
2022,Mumbai,18-04-2022,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Rajasthan Royals,218
2022,Mumbai,19-04-2022,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,field,Royal Challengers Bangalore,182
2022,Mumbai,20-04-2022,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,116
2022,Navi Mumbai,21-04-2022,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,156
2022,Mumbai,22-04-2022,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Rajasthan Royals,223
2022,Navi Mumbai,23-04-2022,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,bat,Gujarat Titans,157
2022,Mumbai,23-04-2022,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,69
2022,Mumbai,24-04-2022,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,Lucknow Super Giants,169
2022,Mumbai,25-04-2022,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Punjab Kings,188
2022,Pune,26-04-2022,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rajasthan Royals,145
2022,Mumbai,27-04-2022,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,196
2022,Mumbai,28-04-2022,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,147
2022,Pune,29-04-2022,Lucknow Super Giants,Punjab Kings,Punjab Kings,field,Lucknow Super Giants,154
2022,Mumbai,30-04-2022,Royal Challengers Bangalore,Gujarat Titans,Royal Challengers Bangalore,bat,Gujarat Titans,171
2022,Navi Mumbai,30-04-2022,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,159
2022,Mumbai,01-05-2022,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,bat,Lucknow Super Giants,196
2022,Pune,01-05-2022,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Chennai Super Kings,203
2022,Mumbai,02-05-2022,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,153
2022,Navi Mumbai,03-05-2022,Gujarat Titans,Punjab Kings,Gujarat Titans,bat,Punjab Kings,144
2022,Pune,04-05-2022,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,174
2022,Mumbai,05-05-2022,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Delhi Capitals,208
2022,Mumbai,06-05-2022,Mumbai Indians,Gujarat Titans,Gujarat Titans,field,Mumbai Indians,178
2022,Mumbai,07-05-2022,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,Rajasthan Royals,190
2022,Pune,07-05-2022,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,Lucknow Super Giants,177
2022,Mumbai,08-05-2022,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,193
2022,Navi Mumbai,08-05-2022,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Chennai Super Kings,209
2022,Navi Mumbai,09-05-2022,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Kolkata Knight Riders,166
2022,Pune,10-05-2022,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,bat,Gujarat Titans,145
2022,Navi Mumbai,11-05-2022,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,161
2022,Mumbai,12-05-2022,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,98
2022,Mumbai,13-05-2022,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Punjab Kings,210
2022,Pune,14-05-2022,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Kolkata Knight Riders,178
2022,Mumbai,15-05-2022,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,bat,Gujarat Titans,134
2022,Mumbai,15-05-2022,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,bat,Rajasthan Royals,179
2022,Navi Mumbai,16-05-2022,Delhi Capitals,Punjab Kings,Punjab Kings,field,Delhi Capitals,160
2022,Mumbai,17-05-2022,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Sunrisers Hyderabad,194
2022,Navi Mumbai,18-05-2022,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,bat,Lucknow Super Giants,211
2022,Mumbai,19-05-2022,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,bat,Royal Challengers Bangalore,169
2022,Mumbai,20-05-2022,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,151
2022,Mumbai,21-05-2022,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,160
2022,Mumbai,22-05-2022,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,Punjab Kings,158
2022,Kolkata,24-05-2022,Rajasthan Royals,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,189
2022,Kolkata,25-05-2022,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,field,Royal Challengers Bangalore,208
2022,Ahmedabad,27-05-2022,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,158
2022,Ahmedabad,29-05-2022,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,bat,Gujarat Titans,131
2023,Ahmedabad,31-03-2023,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,179
2023,Chandigarh,01-04-2023,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Kings,154
2023,Lucknow,01-04-2023,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,field,Lucknow Super Giants,194
2023,Hyderabad,02-04-2023,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rajasthan Royals,204
2023,Bengaluru,02-04-2023,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,172
2023,Chennai,03-04-2023,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,Chennai Super Kings,218
2023,Delhi,04-04-2023,Delhi Capitals,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,163
2023,Guwahati,05-04-2023,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Punjab Kings,198
2023,Kolkata,06-04-2023,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,205
2023,Lucknow,07-04-2023,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,bat,Lucknow Super Giants,122
2023,Guwahati,08-04-2023,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Rajasthan Royals,200
2023,Mumbai,08-04-2023,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,158
2023,Ahmedabad,09-04-2023,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,bat,Kolkata Knight Riders,205
2023,Hyderabad,09-04-2023,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,144
2023,Bengaluru,10-04-2023,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,213
2023,Delhi,11-04-2023,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,173
2023,Chennai,12-04-2023,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Rajasthan Royals,176
2023,Chandigarh,13-04-2023,Punjab Kings,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,154
2023,Kolkata,14-04-2023,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad,229
2023,Bengaluru,15-04-2023,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Royal Challengers Bangalore,175
2023,Lucknow,15-04-2023,Lucknow Super Giants,Punjab Kings,Punjab Kings,field,Punjab Kings,160
2023,Mumbai,16-04-2023,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,186
2023,Ahmedabad,16-04-2023,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,178
2023,Bengaluru,17-04-2023,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Chennai Super Kings,227
2023,Hyderabad,18-04-2023,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Mumbai Indians,193
2023,Jaipur,19-04-2023,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,field,Lucknow Super Giants,155
2023,Chandigarh,20-04-2023,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,Royal Challengers Bangalore,175
2023,Delhi,20-04-2023,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,128
2023,Chennai,21-04-2023,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,135
2023,Lucknow,22-04-2023,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,bat,Gujarat Titans,136
2023,Mumbai,22-04-2023,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,215
2023,Bengaluru,23-04-2023,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Royal Challengers Bangalore,190
2023,Kolkata,23-04-2023,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,236
2023,Hyderabad,24-04-2023,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Delhi Capitals,145
2023,Ahmedabad,25-04-2023,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,Gujarat Titans,208
2023,Bengaluru,26-04-2023,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,201
2023,Jaipur,27-04-2023,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals,203
2023,Chandigarh,28-04-2023,Lucknow Super Giants,Punjab Kings,Punjab Kings,field,Lucknow Super Giants,258
2023,Kolkata,29-04-2023,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,180
2023,Delhi,29-04-2023,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,198
2023,Chennai,30-04-2023,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Punjab Kings,201
2023,Mumbai,30-04-2023,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Mumbai Indians,213
2023,Lucknow,01-05-2023,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,127
2023,Ahmedabad,02-05-2023,Delhi Capitals,Gujarat Titans,Delhi Capitals,bat,Delhi Capitals,131
2023,Chandigarh,03-05-2023,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,215
2023,Hyderabad,04-05-2023,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Kolkata Knight Riders,172
2023,Jaipur,05-05-2023,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,bat,Gujarat Titans,119
2023,Chennai,06-05-2023,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,140
2023,Delhi,06-05-2023,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,Delhi Capitals,182
2023,Ahmedabad,07-05-2023,Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,field,Gujarat Titans,228
2023,Jaipur,07-05-2023,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,Sunrisers Hyderabad,215
2023,Kolkata,08-05-2023,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,Kolkata Knight Riders,180
2023,Mumbai,09-05-2023,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,200
2023,Chennai,10-05-2023,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Chennai Super Kings,168
2023,Kolkata,11-05-2023,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,150
2023,Mumbai,12-05-2023,Mumbai Indians,Gujarat Titans,Gujarat Titans,field,Mumbai Indians,219
2023,Hyderabad,13-05-2023,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,bat,Lucknow Super Giants,183
2023,Delhi,13-05-2023,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Punjab Kings,168
2023,Jaipur,14-05-2023,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,172
2023,Chennai,14-05-2023,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,145
2023,Ahmedabad,15-05-2023,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Gujarat Titans,189
2023,Lucknow,16-05-2023,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,Lucknow Super Giants,178
2023,Dharamsala,17-05-2023,Delhi Capitals,Punjab Kings,Punjab Kings,field,Delhi Capitals,214
2023,Hyderabad,18-05-2023,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,187
2023,Dharamsala,19-05-2023,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,188
2023,Delhi,20-05-2023,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Chennai Super Kings,224
2023,Kolkata,20-05-2023,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,Lucknow Super Giants,177
2023,Mumbai,21-05-2023,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,201
2023,Bengaluru,21-05-2023,Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,198
2023,Chennai,23-05-2023,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,Chennai Super Kings,173
2023,Chennai,24-05-2023,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,bat,Mumbai Indians,183
2023,Ahmedabad,26-05-2023,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,Gujarat Titans,234
2023,Ahmedabad,29-05-2023,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,171
2024,Chennai,22-03-2024,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Chennai Super Kings,174
2024,Mohali,23-03-2024,Delhi Capitals,Punjab Kings,Punjab Kings,field,Punjab Kings,175
2024,Kolkata,23-03-2024,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,209
2024,Jaipur,24-03-2024,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,bat,Rajasthan Royals,194
2024,Ahmedabad,24-03-2024,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,Gujarat Titans,169
2024,Bengaluru,25-03-2024,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,177
2024,Chennai,26-03-2024,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,Chennai Super Kings,207
2024,Hyderabad,27-03-2024,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Sunrisers Hyderabad,278
2024,Jaipur,28-03-2024,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Rajasthan Royals,186
2024,Bengaluru,29-03-2024,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,183
2024,Lucknow,30-03-2024,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,bat,Lucknow Super Giants,200
2024,Ahmedabad,31-03-2024,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,bat,Gujarat Titans,163
2024,Visakhapatnam,31-03-2024,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Delhi Capitals,192
2024,Mumbai,01-04-2024,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,126
2024,Bengaluru,02-04-2024,Lucknow Super Giants,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Lucknow Super Giants,182
2024,Visakhapatnam,03-04-2024,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,Kolkata Knight Riders,273
2024,Ahmedabad,04-04-2024,Gujarat Titans,Punjab Kings,Punjab Kings,field,Punjab Kings,200
2024,Hyderabad,05-04-2024,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,166
2024,Jaipur,06-04-2024,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,184
2024,Mumbai,07-04-2024,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,235
2024,Lucknow,07-04-2024,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,bat,Lucknow Super Giants,164
2024,Chennai,08-04-2024,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,138
2024,Mohali,09-04-2024,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Sunrisers Hyderabad,183
2024,Jaipur,10-04-2024,Rajasthan Royals,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,197
2024,Mumbai,11-04-2024,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,197
2024,Lucknow,12-04-2024,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,bat,Delhi Capitals,168
2024,Mohali,13-04-2024,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,148
2024,Kolkata,14-04-2024,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,162
2024,Mumbai,14-04-2024,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,207
2024,Bengaluru,15-04-2024,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,288
2024,Kolkata,16-04-2024,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,224
2024,Ahmedabad,17-04-2024,Gujarat Titans,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,90
2024,Mohali,18-04-2024,Mumbai Indians,Punjab Kings,Punjab Kings,field,Mumbai Indians,193
2024,Lucknow,19-04-2024,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,177
2024,Delhi,20-04-2024,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Sunrisers Hyderabad,267
2024,Kolkata,21-04-2024,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,223
2024,Mohali,21-04-2024,Punjab Kings,Gujarat Titans,Punjab Kings,bat,Gujarat Titans,143
2024,Jaipur,22-04-2024,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals,180
2024,Chennai,23-04-2024,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,211
2024,Delhi,24-04-2024,Delhi Capitals,Gujarat Titans,Gujarat Titans,field,Delhi Capitals,225
2024,Hyderabad,25-04-2024,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,207
2024,Kolkata,26-04-2024,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Punjab Kings,262
2024,Delhi,27-04-2024,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Delhi Capitals,258
2024,Lucknow,27-04-2024,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,197
2024,Ahmedabad,28-04-2024,Gujarat Titans,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,201
2024,Chennai,28-04-2024,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Chennai Super Kings,213
2024,Kolkata,29-04-2024,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Kolkata Knight Riders,154
2024,Lucknow,30-04-2024,Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,145
2024,Chennai,01-05-2024,Chennai Super Kings,Punjab Kings,Punjab Kings,field,Punjab Kings,163
2024,Hyderabad,02-05-2024,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,202
2024,Mumbai,03-05-2024,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Kolkata Knight Riders,170
2024,Bengaluru,04-05-2024,Gujarat Titans,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,148
2024,Dharamsala,05-05-2024,Chennai Super Kings,Punjab Kings,Punjab Kings,field,Chennai Super Kings,168
