season,City,date,Home Team,Away Team,Toss won by,Toss decision,winner,Target Runs
2011,Dharamsala,15-05-2011,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Punjab Kings,171
2011,Dharamsala,17-05-2011,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,bat,Punjab Kings,233
2011,Mumbai,20-05-2011,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals,134
2011,Dharamsala,21-05-2011,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,Sunrisers Hyderabad,199
2011,Bangalore,22-05-2011,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,Royal Challengers Bangalore,129
2011,Kolkata,22-05-2011,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,176
2011,Mumbai,24-05-2011,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,176
2011,Mumbai,25-05-2011,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,148
2011,Chennai,27-05-2011,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,186
2011,Chennai,28-05-2011,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,206
2012,Chennai,04-04-2012,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,113
2012,Kolkata,05-04-2012,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,98
2012,Jaipur,06-04-2012,Rajasthan Royals,Punjab Kings,Punjab Kings,field,Rajasthan Royals,192
2012,Bangalore,07-04-2012,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Royal Challengers Bangalore,158
2012,Visakhapatnam,07-04-2012,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,Chennai Super Kings,194
2012,Jaipur,08-04-2012,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Rajasthan Royals,165
2012,Visakhapatnam,09-04-2012,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Mumbai Indians,139
2012,Bangalore,10-04-2012,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,166
2012,Delhi,10-04-2012,Delhi Capitals,Chennai Super Kings,Delhi Capitals,field,Delhi Capitals,111
2012,Mumbai,11-04-2012,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Mumbai Indians,198
2012,Chennai,12-04-2012,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Chennai Super Kings,206
2012,Kolkata,13-04-2012,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Kolkata Knight Riders,132
2012,Kolkata,15-04-2012,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Punjab Kings,135
2012,Bangalore,15-04-2012,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,196
2012,Mumbai,16-04-2012,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,93
2012,Jaipur,17-04-2012,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Rajasthan Royals,197
2012,Chandigarh,18-04-2012,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,Kolkata Knight Riders,125
2012,Delhi,19-04-2012,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Delhi Capitals,158
2012,Chandigarh,20-04-2012,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,164
2012,Chennai,21-04-2012,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Chennai Super Kings,147
2012,Mumbai,22-04-2012,Mumbai Indians,Punjab Kings,Mumbai Indians,bat,Punjab Kings,164
2012,Cuttack,22-04-2012,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,127
2012,Jaipur,23-04-2012,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Royal Challengers Bangalore,190
2012,Chandigarh,25-04-2012,Punjab Kings,Mumbai Indians,Punjab Kings,bat,Mumbai Indians,169
2012,Delhi,27-04-2012,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Delhi Capitals,208
2012,Chennai,28-04-2012,Chennai Super Kings,Punjab Kings,Punjab Kings,bat,Punjab Kings,157
2012,Kolkata,28-04-2012,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Kolkata Knight Riders,191
2012,Delhi,29-04-2012,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Delhi Capitals,153
2012,Mumbai,29-04-2012,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Mumbai Indians,101
2012,Chennai,30-04-2012,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,140
2012,Jaipur,01-05-2012,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Delhi Capitals,142
2012,Bangalore,02-05-2012,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,Punjab Kings,159
2012,Chennai,04-05-2012,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Chennai Super Kings,161
2012,Chandigarh,05-05-2012,Punjab Kings,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,178
2012,Mumbai,06-05-2012,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Mumbai Indians,174
2012,Bangalore,06-05-2012,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,Royal Challengers Bangalore,182
2012,Delhi,07-05-2012,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Kolkata Knight Riders,154
2012,Hyderabad,08-05-2012,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,field,Punjab Kings,171
2012,Mumbai,09-05-2012,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,142
2012,Hyderabad,10-05-2012,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Delhi Capitals,188
2012,Jaipur,10-05-2012,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,127
2012,Kolkata,12-05-2012,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,183
2012,Chennai,12-05-2012,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,Chennai Super Kings,115
2012,Chandigarh,13-05-2012,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Punjab Kings,191
2012,Bangalore,14-05-2012,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,172
2012,Kolkata,14-05-2012,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,159
2012,Delhi,15-05-2012,Delhi Capitals,Punjab Kings,Punjab Kings,bat,Delhi Capitals,137
2012,Mumbai,16-05-2012,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Kolkata Knight Riders,141
2012,Dharamsala,17-05-2012,Punjab Kings,Chennai Super Kings,Punjab Kings,field,Punjab Kings,121
2012,Delhi,17-05-2012,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,Royal Challengers Bangalore,216
2012,Hyderabad,18-05-2012,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,bat,Sunrisers Hyderabad,127
2012,Dharamsala,19-05-2012,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,142
2012,Hyderabad,20-05-2012,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,133
2012,Jaipur,20-05-2012,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Mumbai Indians,163
2012,Pune,22-05-2012,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,163
2012,Bangalore,23-05-2012,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,188
2012,Chennai,25-05-2012,Delhi Capitals,Chennai Super Kings,Delhi Capitals,field,Chennai Super Kings,223
2012,Chennai,27-05-2012,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Kolkata Knight Riders,191
2013,Kolkata,03-04-2013,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,Kolkata Knight Riders,129
2013,Bangalore,04-04-2013,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,157
2013,Delhi,06-04-2013,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,166
2013,Chennai,06-04-2013,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,149
2013,Hyderabad,07-04-2013,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Sunrisers Hyderabad,131
2013,Jaipur,08-04-2013,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Rajasthan Royals,145
2013,Mumbai,09-04-2013,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,Mumbai Indians,210
2013,Bangalore,09-04-2013,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Royal Challengers Bangalore,162
2013,Chandigarh,10-04-2013,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,139
2013,Bangalore,11-04-2013,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Royal Challengers Bangalore,155
2013,Delhi,12-04-2013,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Sunrisers Hyderabad,115
2013,Chennai,13-04-2013,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,Chennai Super Kings,166
2013,Kolkata,14-04-2013,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Kolkata Knight Riders,181
2013,Jaipur,14-04-2013,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,Rajasthan Royals,125
2013,Chandigarh,16-04-2013,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Punjab Kings,158
2013,Bangalore,16-04-2013,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,field,Royal Challengers Bangalore,153
2013,Jaipur,17-04-2013,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Rajasthan Royals,180
